# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 54272
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 54272
DATA ascii
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -2044.0262 -1433.8932 2954.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -424.16656 -210.33214 613.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -450.46075 -212.68265 651.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -415.17117 -186.17015 600.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
 -0.0 -0.0 0.0
